# Format: enemyType, col, row, group, subGroup, pathName

# Wave 1
Butterfly, 5, 1, 0, 0,path1
Butterfly, 4, 1, 0, 1,path1
Butterfly, 5, 2, 0, 2,path1
Butterfly, 4, 2, 0, 3,path1

Bee, 5, 3, 0, 0,path2
Bee, 4, 3, 0, 1,path2
Bee, 5, 4, 0, 2,path2
Bee, 4, 4, 0, 3,path2

Butterfly, 3, 1, 1, 1,path3
Butterfly, 3, 2, 1, 3,path3
Butterfly, 6, 1, 1, 5,path3
Butterfly, 6, 2, 1, 7,path3

BossGalaga, 3, 0, 1, 2,path3
BossGalaga, 4, 0, 1, 4,path3
BossGalaga, 5, 0, 1, 6,path3
BossGalaga, 6, 0, 1, 8,path3

Butterfly, 2, 1, 2, 0,path4
Butterfly, 1, 1, 2, 2,path4
Butterfly, 2, 2, 2, 0,path4
Butterfly, 1, 2, 2, 2,path4

Butterfly, 7, 1, 2, 1,path4
Butterfly, 8, 1, 2, 1,path4
Butterfly, 7, 2, 2, 3,path4
Butterfly, 8, 2, 2, 3,path4

Bee, 2, 3, 3, 0,path1
Bee, 3, 4, 3, 0,path1
Bee, 2, 4, 3, 2,path1
Bee, 3, 3, 3, 2,path1

Bee, 6, 3, 3, 1,path1
Bee, 7, 4, 3, 1,path1
Bee, 7, 3, 3, 3,path1
Bee, 6, 4, 3, 3,path1

Bee, 0, 3, 4, 0,path2
Bee, 0, 4, 4, 2,path2
Bee, 1, 4, 4, 2,path2
Bee, 1, 3, 4, 0,path2

Bee, 8, 3, 4, 1,path2
Bee, 9, 3, 4, 1,path2
Bee, 8, 4, 4, 3,path2
Bee, 9, 4, 4, 3,path2

# Wave 2

# Wave 3
